"北海道","0000-00-00 00:00:00","0000-00-00 00:00:00"
"青森県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"岩手県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"宮城県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"秋田県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"山形県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"福島県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"茨城県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"栃木県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"群馬県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"埼玉県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"千葉県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"東京都","0000-00-00 00:00:00","0000-00-00 00:00:00"
"神奈川県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"新潟県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"富山県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"石川県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"福井県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"山梨県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"長野県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"岐阜県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"静岡県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"愛知県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"三重県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"滋賀県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"京都府","0000-00-00 00:00:00","0000-00-00 00:00:00"
"大阪府","0000-00-00 00:00:00","0000-00-00 00:00:00"
"兵庫県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"奈良県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"和歌山県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"鳥取県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"島根県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"岡山県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"広島県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"山口県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"徳島県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"香川県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"愛媛県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"高知県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"福岡県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"佐賀県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"長崎県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"熊本県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"大分県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"宮崎県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"鹿児島県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"沖縄県","0000-00-00 00:00:00","0000-00-00 00:00:00"
"未定","0000-00-00 00:00:00","0000-00-00 00:00:00"